MSSubClass,Neighborhood,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,1stFlrSF,GrLivArea,FullBath,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,SalePrice
14.0,16.0,6.0,96.0,42.0,2.0,196.0,2.0,5.0,2.0,856.0,4.0,856.0,1710.0,2.0,2.0,7.0,0.0,4.0,84.0,1.0,2.0,548.0,208500.0
11.0,20.0,5.0,70.0,31.0,1.0,0.0,1.0,2.0,2.0,1262.0,4.0,1262.0,1262.0,2.0,1.0,4.0,1.0,4.0,55.0,1.0,2.0,460.0,181500.0
14.0,16.0,6.0,99.0,53.0,2.0,162.0,2.0,5.0,2.0,920.0,4.0,920.0,1786.0,2.0,2.0,4.0,1.0,4.0,89.0,1.0,2.0,608.0,223500.0
9.0,17.0,6.0,31.0,16.0,1.0,0.0,1.0,1.0,1.0,756.0,3.0,961.0,1717.0,0.0,2.0,5.0,1.0,1.0,77.0,0.0,4.0,642.0,140000.0
14.0,24.0,7.0,87.0,38.0,2.0,350.0,2.0,5.0,2.0,1145.0,4.0,1145.0,2198.0,2.0,2.0,8.0,1.0,4.0,76.0,1.0,4.0,836.0,250000.0
6.0,11.0,4.0,90.0,47.0,1.0,0.0,1.0,4.0,2.0,796.0,4.0,796.0,1362.0,0.0,1.0,3.0,0.0,4.0,83.0,0.0,2.0,480.0,143000.0
11.0,19.0,7.0,85.0,50.0,3.0,186.0,2.0,5.0,3.0,1686.0,4.0,1694.0,1694.0,2.0,2.0,5.0,1.0,4.0,78.0,1.0,2.0,636.0,307000.0
14.0,13.0,6.0,40.0,15.0,3.0,240.0,1.0,2.0,2.0,1107.0,4.0,1107.0,2090.0,2.0,1.0,5.0,2.0,4.0,26.0,1.0,2.0,484.0,200000.0
6.0,5.0,6.0,21.0,1.0,1.0,0.0,1.0,1.0,1.0,952.0,3.0,1022.0,1774.0,2.0,1.0,7.0,2.0,1.0,47.0,0.0,2.0,468.0,129900.0
3.0,3.0,4.0,53.0,1.0,1.0,0.0,1.0,1.0,1.0,991.0,4.0,1077.0,1077.0,0.0,1.0,3.0,2.0,4.0,62.0,1.0,1.0,205.0,118000.0
11.0,6.0,4.0,55.0,18.0,1.0,0.0,1.0,2.0,1.0,1040.0,4.0,1040.0,1040.0,0.0,1.0,3.0,0.0,1.0,45.0,0.0,1.0,384.0,129500.0
14.0,23.0,8.0,97.0,57.0,3.0,286.0,3.0,5.0,3.0,1175.0,4.0,1182.0,2324.0,3.0,3.0,11.0,2.0,5.0,81.0,2.0,4.0,736.0,345000.0
11.0,6.0,4.0,50.0,20.0,1.0,0.0,1.0,2.0,1.0,912.0,2.0,912.0,912.0,0.0,1.0,2.0,0.0,1.0,28.0,0.0,1.0,352.0,144000.0
